,Product_Link,Product_Name,Product_Summary,Product_Price,Product_Rating,Product_Image_url
10,https://www.costco.co.uk/Computers/Laptops-MacBooks/LG-Gram-Intel-Core-i7-16GB-RAM-1TB-SSD-17-Inch-Ultra-Lightweight-Laptop-17Z90P-KAA88A1/p/379044,"LG Gram, Intel Core i7, 16GB RAM, 1TB SSD, 17 Inch Ultra-Lightweight Laptop, 17Z90P-K.AA88A1","- Intel Core i7-1165G7 Processor- Intel Iris Xe Graphics - Windows 11 Home- 2 x 2W Speakers, DTS:X Ultra, Dual Mic- Up to 19.5 Hours Battery Life- 1.35 kg- Find out more with the LG gram Buying Guide","£1,199.89","<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">4.8 (13)</span>",https://www.costco.co.uk/Computers/Laptops-MacBooks/LG-Gram-Intel-Core-i7-16GB-RAM-1TB-SSD-17-Inch-Ultra-Lightweight-Laptop-17Z90P-KAA88A1/p/379044
11,https://www.costco.co.uk/Computers/Laptops/Apple-MacBook-Pro-2020-Apple-M1-Chip-8GB-RAM-256GB-SSD-133-Inch/p/MacBookPro132020M1256GB,"Apple MacBook Pro 2020, Apple M1 Chip, 8GB RAM, 256GB SSD, 13.3 Inch","- Apple-designed M1 chip for a giant leap in CPU, GPU and machine learning performance- Get more done with up to 20 hours of battery life, the longest ever in a Mac2- 8-core CPU delivers up to 2.8x faster performance to fly through workflows quicker than ever1- 8-core GPU with up to 5x faster graphics for graphics-intensive apps and games1","£1,144.99",,https://www.costco.co.uk/Computers/Laptops/Apple-MacBook-Pro-2020-Apple-M1-Chip-8GB-RAM-256GB-SSD-133-Inch/p/MacBookPro132020M1256GB
12,https://www.costco.co.uk/Computers/Laptops/Apple-MacBook-Air-2020-Apple-M1-Chip-8GB-RAM-512GB-SSD-133-Inch/p/MacBookAir2020M1512GB,"Apple MacBook Air 2020, Apple M1 Chip, 8GB RAM, 512GB SSD, 13.3 Inch","- Apple-designed M1 chip for a giant leap in CPU, GPU and machine learning performance- Go longer than ever with up to 18 hours of battery life1- 8-core CPU delivers up to 3.5x faster performance to tackle projects faster than ever2- Up to eight GPU cores with up to 5x faster graphics for graphics-intensive apps and games2","£1,089.99",,https://www.costco.co.uk/Computers/Laptops/Apple-MacBook-Air-2020-Apple-M1-Chip-8GB-RAM-512GB-SSD-133-Inch/p/MacBookAir2020M1512GB
13,https://www.costco.co.uk/Computers/Laptops-MacBooks/HP-Spectre-Intel-Core-i5-8GB-RAM-512GB-SSD-135-Inch-Convertible-Laptop-14-ea0007na/p/352920,"HP Spectre, Intel Core i5, 8GB RAM, 512GB SSD, 13.5 Inch Convertible Laptop, 14-ea0007na",- Intel Core i5-1135G7 Processor- Intel Iris Xe Graphics- Windows 10 Home 64 bit- Up to 17 hours Battery life- 1.34 kg- Nightfall black colour,£999.99,,https://www.costco.co.uk/Computers/Laptops-MacBooks/HP-Spectre-Intel-Core-i5-8GB-RAM-512GB-SSD-135-Inch-Convertible-Laptop-14-ea0007na/p/352920
14,https://www.costco.co.uk/Computers/Laptops-MacBooks/Lenovo-Legion-5-AMD-Ryzen-7-8GB-RAM-512GB-SSD-NVIDIA-GeForce-GTX-1660-Ti-173-Inch-Gaming-Laptop-82GN001KUK/p/380729,"Lenovo Legion 5, AMD Ryzen 7, 8GB RAM, 512GB SSD, NVIDIA GeForce GTX 1660 Ti, 17.3 Inch Gaming Laptop, 82GN001KUK","- AMD Ryzen 7 4800H Processor- NVIDIA GeForce GTX 1660 Ti Graphics- Windows 10 Home- 2 x 2W Harman Speakers, Dolby Atmos- Up to 6 hours Battery Life- 3.0 kg",£899.89,,https://www.costco.co.uk/Computers/Laptops-MacBooks/Lenovo-Legion-5-AMD-Ryzen-7-8GB-RAM-512GB-SSD-NVIDIA-GeForce-GTX-1660-Ti-173-Inch-Gaming-Laptop-82GN001KUK/p/380729
15,https://www.costco.co.uk/Computers/Laptops-MacBooks/Acer-Predator-Triton-300-SE-Intel-Core-i7-16GB-RAM-1TB-SSD-NVIDIA-GeForce-RTX-3060-14-Inch-Gaming-Laptop-NHQBJEK006/p/369432,"Acer Predator Triton 300 SE, Intel Core i7, 16GB RAM , 1TB SSD, NVIDIA GeForce RTX 3060, 14 Inch Gaming Laptop, NH.QBJEK.006","- Intel Core i7-11370H Processor- NVIDIA Geforce RTX 3060 Graphics- Full HD 1920 x 1080, 144 Hz Display- DTS X: Ultra Audio- Windows 10 Home- Up to 9 hours- 1.7kg",£899.89,,https://www.costco.co.uk/Computers/Laptops-MacBooks/Acer-Predator-Triton-300-SE-Intel-Core-i7-16GB-RAM-1TB-SSD-NVIDIA-GeForce-RTX-3060-14-Inch-Gaming-Laptop-NHQBJEK006/p/369432
16,https://www.costco.co.uk/Computers/Laptops-MacBooks/HP-OMEN-AMD-Ryzen-7-8GB-RAM-1TB-SSD-NVIDIA-GeForce-RTX-2060-156-Inch-Gaming-Laptop-15-en0007na/p/335640,"HP OMEN, AMD Ryzen 7, 8GB RAM, 1TB SSD, NVIDIA GeForce RTX 2060, 15.6 Inch Gaming Laptop, 15-en0007na","- AMD Ryzen 7 4800H Processor- NVIDIA GeForce RTX 2060, 6GB GDDR6- Windows 10 Home (64 bit)- Up to 7.5 Hours and Fast Charge Supported- 15.6"" Full HD 144Hz Display, 72% NTSC- 2.37 kg- Silver Aluminium colour",£899.89,"<span _ngcontent-sc381="""" class=""star-ratings-text ng-star-inserted"">4.7 (3)</span>",https://www.costco.co.uk/Computers/Laptops-MacBooks/HP-OMEN-AMD-Ryzen-7-8GB-RAM-1TB-SSD-NVIDIA-GeForce-RTX-2060-156-Inch-Gaming-Laptop-15-en0007na/p/335640
17,https://www.costco.co.uk/Computers/Laptops-MacBooks/LG-Gram-Intel-Core-i7-16GB-RAM-256GB-SSD-16-Inch-Ultra-Lightweight-Laptop-16Z90P-KAA82A1/p/388527,"LG Gram, Intel Core i7, 16GB RAM, 256GB SSD, 16 Inch Ultra-Lightweight Laptop, 16Z90P-K.AA82A1",- Intel Core i7-1165G7 Processor- Intel Iris Xe Graphics - Windows 11 Home- 16 inch WQXGA Display- Up to 20 Hours Battery Life- 1.2 kg- Power Button with Fingerprint Sensor- Find out more with the LG gram Buying Guide,£889.99,,https://www.costco.co.uk/Computers/Laptops-MacBooks/LG-Gram-Intel-Core-i7-16GB-RAM-256GB-SSD-16-Inch-Ultra-Lightweight-Laptop-16Z90P-KAA82A1/p/388527
18,https://www.costco.co.uk/Computers/Laptops/Apple-MacBook-Air-2020-Apple-M1-Chip-8GB-RAM-256GB-SSD-133-Inch/p/MacBookAir2020M1256GB,"Apple MacBook Air 2020, Apple M1 Chip, 8GB RAM, 256GB SSD, 13.3 Inch","- Apple-designed M1 chip for a giant leap in CPU, GPU and machine learning performance- Go longer than ever with up to 18 hours of battery life1- 8-core CPU delivers up to 3.5x faster performance to tackle projects faster than ever2- Up to eight GPU cores with up to 5x faster graphics for graphics-intensive apps and games2",£879.99,,https://www.costco.co.uk/Computers/Laptops/Apple-MacBook-Air-2020-Apple-M1-Chip-8GB-RAM-256GB-SSD-133-Inch/p/MacBookAir2020M1256GB
19,https://www.costco.co.uk/Computers/Laptops-MacBooks/Lenovo-Yoga-S7-Pro-AMD-Ryzen-7-16GB-RAM-512GB-SSD-14-Inch-Laptop-82MS006GUK/p/373920,"Lenovo Yoga S7 Pro, AMD Ryzen 7, 16GB RAM, 512GB SSD, 14 Inch Laptop, 82MS006GUK","- AMD Ryzen 7 5800H Processor- AMD Radeon Graphics- Windows 10 Home- Up to 12 hours and 20 minutes Battery life- 14""  Display- 1.3kg",£849.99,,https://www.costco.co.uk/Computers/Laptops-MacBooks/Lenovo-Yoga-S7-Pro-AMD-Ryzen-7-16GB-RAM-512GB-SSD-14-Inch-Laptop-82MS006GUK/p/373920
